,Unnamed: 0,underlying,type,expiration,quotedate,strike,bid,ask,volume,bs,garch,gp
83,83,SPXW,call,2019-10-14,2019-10-02,2930.0,16.2,17.0,24,15.168839013532532,10.685947309810613,14.994406168498482
84,84,SPXW,put,2019-10-14,2019-10-02,2930.0,60.5,65.0,36,55.870574797170775,51.44507870801364,55.04809911477365
85,85,SPXW,call,2019-10-14,2019-10-02,2935.0,14.4,15.0,75,13.73405393849714,10.490544236818845,13.594406793470007
86,86,SPXW,put,2019-10-14,2019-10-02,2935.0,63.6,68.0,37,59.43290890849266,58.41476537634567,59.53278930941533
87,87,SPXW,call,2019-10-14,2019-10-02,2940.0,12.6,13.2,88,12.404417133180344,9.93794323903192,11.977707433840086
88,88,SPXW,put,2019-10-14,2019-10-02,2940.0,66.8,71.2,31,63.100391289533945,59.39420719614568,62.87099373974525
89,89,SPXW,call,2019-10-14,2019-10-02,2945.0,11.0,11.5,34,11.175710100434117,6.984379617195735,10.637054179851525
90,90,SPXW,put,2019-10-14,2019-10-02,2945.0,70.2,75.1,18,66.86880344314523,65.75575912031006,68.25198197257679
91,91,SPXW,call,2019-10-14,2019-10-02,2950.0,9.5,10.0,457,10.043509499021296,5.275587489705188,9.997946227678831
92,92,SPXW,put,2019-10-14,2019-10-02,2950.0,73.4,79.5,83,70.73372202808969,66.42845557782321,70.08616396062621
93,93,SPXW,call,2019-10-14,2019-10-02,2955.0,8.1,8.6,15,9.003231350373994,6.279164676240397,8.813582617597522
94,94,SPXW,put,2019-10-14,2019-10-02,2955.0,77.0,83.1,3,74.69056306580023,71.30495981604035,75.01356961488572
95,95,SPXW,call,2019-10-14,2019-10-02,2960.0,6.9,7.4,40,8.05017476636931,4.710729763786688,7.965693505194579
96,96,SPXW,put,2019-10-14,2019-10-02,2960.0,81.1,87.2,31,78.7346256681526,78.37161789081834,79.07003809596709
97,97,SPXW,call,2019-10-14,2019-10-02,2965.0,5.9,6.3,63,7.179564553609282,4.649582528329959,7.081758883036507
98,98,SPXW,put,2019-10-14,2019-10-02,2965.0,85.0,91.0,2,82.8611346417506,81.42442593098565,83.07544100416494
99,99,SPXW,call,2019-10-14,2019-10-02,2970.0,5.0,5.3,198,6.386592110618039,4.006074584915027,6.546956221571092
100,100,SPXW,put,2019-10-14,2019-10-02,2970.0,88.8,94.8,1,87.06528138511658,84.07610269235609,87.24693253452688
101,101,SPXW,call,2019-10-14,2019-10-02,2975.0,4.1,4.5,51,5.666454104697095,3.9321619258007017,5.572702083460928
102,102,SPXW,put,2019-10-14,2019-10-02,2975.0,93.2,99.3,49,91.34226256555348,91.52748539237876,91.09977880481937
